"Q1: In terms of physical health during this pandemic, did you: ",Q2: Are you productive during this pandemic? ,,"Q3: During the pandemic, do you tend to talk a lot to other people like;  [acquaintances]","Q3: During the pandemic, do you tend to talk a lot to other people like;  [loved ones]","Q3: During the pandemic, do you tend to talk a lot to other people like;  [close friends]","Q4: Do you like to be with yourself more during this pandemic, or do you want to converse with other people? ","Q5: At the range of 1-5, rate yourself on how you usually experience anxiety, stress, or depression during this pandemic? (1 as the lowest and 5 as the highest.)","Q6: During this pandemic, rate yourself at a range of 1-5 on how often you laugh and smile? (1 as the lowest and 5 as the highest.)","Q7: During this pandemic, do you become a hot tempered person or a calm person?"
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,5,2,hot tempered person
Lose much weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Become physically fit,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,3,3,hot tempered person
Lose much weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,3,calm person
Lose much weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,3,3,calm person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To converse with other people,3,5,calm person
Gain more weight,"No, I am less productive",,No,Yes,No,To converse with other people,5,5,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,5,2,calm person
Lose much weight,"No, I am less productive",,No,Yes,No,To converse with other people,3,3,calm person
Lose much weight,"No, I am less productive",,No,Yes,No,To be with yourself more during this pandemic,3,4,calm person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,4,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,5,3,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,5,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,5,4,hot tempered person
Lose much weight,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,5,5,calm person
Gain more weight,"No, I am less productive",,No,No,Yes,To be with yourself more during this pandemic,5,1,hot tempered person
Gain more weight,"Yes, I am more productive",,Yes,No,Yes,To be with yourself more during this pandemic,1,3,hot tempered person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,4,calm person
Become physically fit,"Yes, I am more productive",,No,Yes,Yes,To converse with other people,1,4,calm person
Lose much weight,"Yes, I am more productive",,Yes,Yes,Yes,To converse with other people,3,4,calm person
Gain more weight,"Yes, I am more productive",,No,Yes,No,To be with yourself more during this pandemic,4,2,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,3,3,hot tempered person
Lose much weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,4,3,hot tempered person
Lose much weight,"Yes, I am more productive",,No,No,Yes,To be with yourself more during this pandemic,5,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,4,3,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Become physically fit,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Lose much weight,"No, I am less productive",,No,Yes,No,To be with yourself more during this pandemic,3,3,calm person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,3,4,calm person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,5,3,hot tempered person
Gain more weight,"No, I am less productive",,No,No,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Gain more weight,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,3,4,calm person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,4,calm person
Gain more weight,"Yes, I am more productive",,No,Yes,No,To be with yourself more during this pandemic,5,5,calm person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Become physically fit,"No, I am less productive",,No,No,No,To be with yourself more during this pandemic,4,4,hot tempered person
Gain more weight,"Yes, I am more productive",,No,Yes,No,To be with yourself more during this pandemic,3,3,calm person
Gain more weight,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,2,3,calm person
Gain more weight,"No, I am less productive",,No,No,Yes,To be with yourself more during this pandemic,4,2,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,3,4,calm person
Gain more weight,"Yes, I am more productive",,No,Yes,No,To be with yourself more during this pandemic,3,2,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,3,4,calm person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To converse with other people,2,5,calm person
Lose much weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,5,1,calm person
Lose much weight,"Yes, I am more productive",,Yes,No,Yes,To be with yourself more during this pandemic,3,4,calm person
Lose much weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,5,1,calm person
Become physically fit,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,4,4,calm person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,3,calm person
Lose much weight,"No, I am less productive",,No,No,Yes,To be with yourself more during this pandemic,5,3,hot tempered person
Become physically fit,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,3,calm person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,4,3,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,2,calm person
Gain more weight,"No, I am less productive",,No,No,No,To be with yourself more during this pandemic,3,2,calm person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,2,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,5,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,4,2,hot tempered person
Lose much weight,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,2,3,hot tempered person
Lose much weight,"No, I am less productive",,No,No,Yes,To converse with other people,5,2,calm person
Gain more weight,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,5,calm person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,4,3,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,No,To converse with other people,4,3,hot tempered person
Gain more weight,"No, I am less productive",,No,No,No,To be with yourself more during this pandemic,4,4,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,4,calm person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,5,3,hot tempered person
Gain more weight,"Yes, I am more productive",,No,Yes,Yes,To be with yourself more during this pandemic,5,3,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,No,To be with yourself more during this pandemic,4,3,hot tempered person
Lose much weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,5,3,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,2,3,calm person
Gain more weight,"Yes, I am more productive",,No,No,No,To be with yourself more during this pandemic,4,2,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,2,5,hot tempered person
Become physically fit,"Yes, I am more productive",,No,Yes,No,To be with yourself more during this pandemic,4,4,calm person
Gain more weight,"No, I am less productive",,No,Yes,No,To be with yourself more during this pandemic,4,4,hot tempered person
Lose much weight,"Yes, I am more productive",,No,No,No,To be with yourself more during this pandemic,1,5,calm person
Lose much weight,"No, I am less productive",,Yes,No,No,To converse with other people,5,1,calm person
Become physically fit,"Yes, I am more productive",,No,No,Yes,To be with yourself more during this pandemic,1,4,calm person
Become physically fit,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,3,calm person
Become physically fit,"Yes, I am more productive",,No,No,No,To be with yourself more during this pandemic,1,1,calm person
Lose much weight,"Yes, I am more productive",,Yes,No,No,To be with yourself more during this pandemic,3,3,calm person
Lose much weight,"No, I am less productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,1,5,calm person
Lose much weight,"Yes, I am more productive",,No,No,No,To be with yourself more during this pandemic,3,4,calm person
Lose much weight,"No, I am less productive",,No,Yes,No,To converse with other people,3,4,calm person
Lose much weight,"Yes, I am more productive",,No,Yes,No,To be with yourself more during this pandemic,4,4,hot tempered person
Lose much weight,"Yes, I am more productive",,No,Yes,No,To converse with other people,3,4,calm person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,4,4,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,4,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,No,Yes,To converse with other people,4,4,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,4,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,Yes,Yes,To converse with other people,4,4,hot tempered person
Gain more weight,"No, I am less productive",,Yes,No,Yes,To converse with other people,3,3,calm person
Lose much weight,"Yes, I am more productive",,Yes,No,Yes,To be with yourself more during this pandemic,3,3,hot tempered person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,3,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To be with yourself more during this pandemic,5,3,hot tempered person
Gain more weight,"No, I am less productive",,No,Yes,Yes,To converse with other people,4,3,hot tempered person
Become physically fit,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,4,calm person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To be with yourself more during this pandemic,3,4,hot tempered person
Gain more weight,"Yes, I am more productive",,No,Yes,No,To converse with other people,3,3,calm person
Gain more weight,"Yes, I am more productive",,Yes,Yes,Yes,To converse with other people,3,4,hot tempered person
